# Species	Genes	Alg.-Conn.	GCF_000007045.1	GCF_000014365.1	GCF_000018965.1	GCF_000018985.1	GCF_000019005.1	GCF_000019025.1	GCF_000019265.1	GCF_000019825.1	GCF_000019985.1	GCF_000196595.1
10	10	0.909	NP_359248.1	WP_001180173.1	WP_001180158.1	WP_001180173.1	WP_001180151.1	WP_001180029.1	WP_001180171.1	WP_001180142.1	WP_001180154.1	WP_001180029.1
10	10	0.681	NP_357692.1	WP_000227119.1	WP_001230165.1	WP_000227119.1	WP_001230167.1	WP_000227119.1	WP_000227118.1	WP_001230164.1	WP_001230165.1	WP_000227119.1
10	10	0.902	NP_358666.1	WP_001229135.1	WP_001229139.1	WP_001229140.1	WP_001229139.1	WP_001229114.1	WP_001229137.1	WP_001229137.1	WP_001229142.1	WP_001229114.1
10	10	0.911	NP_358135.1	WP_001229509.1	WP_001229499.1	WP_001229514.1	WP_001229509.1	WP_001229503.1	WP_001229522.1	WP_001229520.1	WP_001229511.1	WP_001229509.1
10	10	0.902	NP_358233.1	WP_001167218.1	WP_001167216.1	WP_001167216.1	WP_001167208.1	WP_001167212.1	WP_001167201.1	WP_001167216.1	WP_001167216.1	WP_001167212.1
10	10	0.899	NP_358417.1	WP_001246756.1	WP_001246755.1	WP_001246755.1	WP_001246755.1	WP_001246755.1	WP_001246755.1	WP_001246755.1	WP_001246755.1	WP_001246755.1
7	7	0.71	*	WP_001147733.1	WP_001195880.1	WP_001148694.1	WP_001147734.1	*	WP_001147732.1	WP_001148694.1	WP_001147737.1	*
5	5	0.563	*	*	WP_001246432.1	*	WP_001246429.1	*	WP_001246429.1	WP_001246429.1	WP_001246432.1	*
10	10	0.874	NP_358761.1	WP_001246401.1	WP_001246422.1	WP_001246401.1	WP_001246409.1	WP_001246409.1	WP_001246397.1	WP_001246412.1	WP_001246397.1	WP_001246409.1
10	10	0.668	NP_358298.1	WP_000795797.1	WP_000795792.1	WP_001245820.1	WP_012677086.1	WP_001245817.1	WP_001245814.1	WP_001245825.1	WP_000795800.1	WP_001245817.1
10	10	0.907	NP_359490.1	WP_001245781.1	WP_001245789.1	WP_001245781.1	WP_001245782.1	WP_001245781.1	WP_001245781.1	WP_001245789.1	WP_001245789.1	WP_001245781.1
10	10	0.907	NP_359154.1	WP_001245346.1	WP_001245352.1	WP_001245352.1	WP_001245352.1	WP_001245353.1	WP_001245350.1	WP_001245356.1	WP_001245361.1	WP_001245353.1
10	10	0.898	NP_358529.1	WP_001244692.1	WP_001244693.1	WP_001244693.1	WP_001244693.1	WP_001244689.1	WP_001244693.1	WP_001244693.1	WP_001244693.1	WP_001244689.1
10	10	0.905	NP_358151.1	WP_001240806.1	WP_001240791.1	WP_001240811.1	WP_001240810.1	WP_001240777.1	WP_001240806.1	WP_001240808.1	WP_001240779.1	WP_001240779.1
10	10	0.897	NP_358830.1	WP_001237554.1	WP_001237588.1	WP_001237588.1	WP_001237551.1	WP_001237580.1	WP_001237582.1	WP_001237564.1	WP_001237575.1	WP_001237588.1
10	10	0.9	NP_359070.1	WP_001166786.1	WP_001166786.1	WP_001166792.1	WP_001166786.1	WP_001166785.1	WP_001166786.1	WP_001166786.1	WP_001166786.1	WP_001166785.1
10	10	0.887	NP_358432.1	WP_001166880.1	WP_001166869.1	WP_001166894.1	WP_001166878.1	WP_001166874.1	WP_001166873.1	WP_001166902.1	WP_001166880.1	WP_001166874.1
10	10	0.911	NP_357841.1	WP_001232763.1	WP_001232793.1	WP_001232801.1	WP_001232808.1	WP_001232806.1	WP_001232781.1	WP_001232839.1	WP_001232816.1	WP_001232827.1
10	10	0.918	NP_358733.1	WP_001237219.1	WP_001237219.1	WP_001237217.1	WP_001237219.1	WP_001237223.1	WP_001237222.1	WP_001237219.1	WP_001220356.1	WP_001237223.1
10	10	0.897	NP_359189.1	WP_001168886.1	WP_001168886.1	WP_001168885.1	WP_001168885.1	WP_001168885.1	WP_001168885.1	WP_001168889.1	WP_001168885.1	WP_001168885.1
10	10	0.881	NP_359139.1	WP_000763095.1	WP_001235284.1	WP_001235287.1	WP_001235275.1	WP_000763094.1	WP_001235282.1	WP_001235285.1	WP_001235288.1	WP_000763094.1
10	10	0.901	NP_358859.1	WP_001170072.1	WP_001170072.1	WP_001170072.1	WP_001170075.1	WP_001170072.1	WP_001170072.1	WP_001170068.1	WP_001170072.1	WP_001170072.1
10	10	0.906	NP_358910.1	WP_001170347.1	WP_001170347.1	WP_001170346.1	WP_001170346.1	WP_001170347.1	WP_001170346.1	WP_001170346.1	WP_001170352.1	WP_001170347.1
10	10	0.907	NP_358191.1	WP_001235024.1	WP_001235005.1	WP_001235022.1	WP_001235039.1	WP_001235009.1	WP_001235008.1	WP_001235018.1	WP_001235038.1	WP_001235009.1
10	10	0.896	NP_357601.1	WP_001234978.1	WP_001234978.1	WP_001234978.1	WP_001234978.1	WP_001234978.1	WP_001234978.1	WP_001234978.1	WP_001234978.1	WP_001234978.1
9	9	0.902	NP_359467.1	WP_001172823.1	*	WP_001172821.1	WP_001172827.1	WP_001172820.1	WP_001172827.1	WP_001172823.1	WP_001172823.1	WP_001172820.1
10	10	0.902	NP_357980.1	WP_001173353.1	WP_001173353.1	WP_001173353.1	WP_001173354.1	WP_001173353.1	WP_001173353.1	WP_001173353.1	WP_001173353.1	WP_001173353.1
10	10	0.899	NP_359381.1	WP_001174613.1	WP_001174613.1	WP_001174613.1	WP_001174613.1	WP_001174613.1	WP_001174613.1	WP_001174613.1	WP_001174613.1	WP_001174613.1
10	10	0.906	NP_357850.1	WP_001234884.1	WP_001234899.1	WP_001234902.1	WP_001234899.1	WP_001234899.1	WP_001234898.1	WP_001234902.1	WP_001234902.1	WP_001234899.1
10	10	0.879	NP_357681.1	WP_001233696.1	WP_001233693.1	WP_001233696.1	WP_001233685.1	WP_001229057.1	WP_001233696.1	WP_001233689.1	WP_001233689.1	WP_001229057.1
10	10	0.907	NP_358804.2	WP_001196960.1	WP_001196960.1	WP_001196960.1	WP_001196960.1	WP_001196960.1	WP_001196960.1	WP_001196960.1	WP_001196961.1	WP_001196960.1
6	6	0.855	*	*	WP_029645397.1	WP_001211068.1	WP_001211068.1	*	WP_029658590.1	WP_001211071.1	*	WP_001211068.1
10	10	0.906	NP_359413.1	WP_001210991.1	WP_001210991.1	WP_001210991.1	WP_001210991.1	WP_001210991.1	WP_001210991.1	WP_001210991.1	WP_001210991.1	WP_001210991.1
10	10	0.904	NP_359277.1	WP_001193676.1	WP_001193674.1	WP_001193668.1	WP_001193668.1	WP_001193665.1	WP_001193668.1	WP_001193669.1	WP_001193674.1	WP_001193665.1
9	9	0.904	NP_357880.1	WP_001193721.1	WP_001193738.1	WP_001193729.1	WP_001193743.1	WP_001193724.1	WP_001193722.1	WP_001193705.1	WP_001193716.1	*
5	5	0.728	*	*	WP_000670038.1	*	WP_001210976.1	*	WP_001210974.1	WP_001210968.1	WP_001210966.1	*
10	10	0.896	NP_358600.1	WP_001210007.1	WP_001210010.1	WP_001210007.1	WP_001210010.1	WP_001210006.1	WP_001210007.1	WP_001210012.1	WP_001210007.1	WP_001210006.1
10	10	0.915	NP_358286.1	WP_001209604.1	WP_001209605.1	WP_001209571.1	WP_001209584.1	WP_001209571.1	WP_001209572.1	WP_001209598.1	WP_001209585.1	WP_001209571.1
10	10	0.902	NP_359255.1	WP_001194490.1	WP_001194466.1	WP_001194469.1	WP_001194489.1	WP_001194484.1	WP_001194488.1	WP_001194484.1	WP_001194502.1	WP_001194484.1
10	10	0.887	NP_359338.1	WP_001209210.1	WP_001209202.1	WP_001209197.1	WP_001209207.1	WP_001209207.1	WP_001209211.1	WP_001209211.1	WP_001209210.1	WP_001209207.1
10	10	0.906	NP_357604.1	WP_001208977.1	WP_001208978.1	WP_001208991.1	WP_001208983.1	WP_001208988.1	WP_001208981.1	WP_001209049.1	WP_001209049.1	WP_001208988.1
10	10	0.695	NP_358728.1	WP_001074734.1	WP_001074711.1	WP_001074723.1	WP_001074712.1	WP_001074730.1	WP_001074713.1	WP_001208019.1	WP_000162524.1	WP_001074730.1
10	10	0.899	NP_358282.1	WP_001196049.1	WP_001196049.1	WP_001196049.1	WP_001196049.1	WP_001196049.1	WP_001196049.1	WP_001196049.1	WP_001196049.1	WP_001196049.1
6	6	0.954	*	WP_001211072.1	WP_001812669.1	WP_001211072.1	*	*	WP_001211072.1	WP_001211072.1	WP_001812669.1	*
10	10	0.901	NP_359146.1	WP_001207696.1	WP_001207696.1	WP_001207696.1	WP_001207696.1	WP_001207696.1	WP_001207696.1	WP_001207696.1	WP_001207696.1	WP_001207696.1
10	10	0.908	NP_358745.1	WP_001199652.1	WP_001199657.1	WP_001199649.1	WP_001199649.1	WP_001199645.1	WP_029658100.1	WP_001199646.1	WP_001199651.1	WP_001199645.1
9	9	0.908	NP_358527.1	WP_000885335.1	WP_001207345.1	WP_001207345.1	WP_001207345.1	WP_001207345.1	WP_001207345.1	WP_001207345.1	*	WP_001207345.1
10	10	0.901	NP_358378.1	WP_001200076.1	WP_001200068.1	WP_001200062.1	WP_001200062.1	WP_001200084.1	WP_001200053.1	WP_001200084.1	WP_001200084.1	WP_001200084.1
10	10	0.904	NP_358207.1	WP_001206713.1	WP_001206728.1	WP_001206731.1	WP_001206717.1	WP_001206717.1	WP_001206724.1	WP_001206717.1	WP_001206713.1	WP_001206717.1
10	10	0.903	NP_358115.1	WP_001208176.1	WP_001208178.1	WP_001201737.1	WP_001208177.1	WP_001208180.1	WP_001201732.1	WP_001201732.1	WP_001208171.1	WP_001208180.1
10	10	0.902	NP_358848.1	WP_001201789.1	WP_001201789.1	WP_001201789.1	WP_001201789.1	WP_001201789.1	WP_001201789.1	WP_001201804.1	WP_001201789.1	WP_001201789.1
4	4	0.842	*	*	*	*	*	WP_001205625.1	WP_001005725.1	WP_001205625.1	*	WP_001005725.1
10	10	0.909	NP_358338.1	WP_001202979.1	WP_001202971.1	WP_001202953.1	WP_001202964.1	WP_001202948.1	WP_001202949.1	WP_001202955.1	WP_001202947.1	WP_001202948.1
10	10	0.901	NP_359214.1	WP_001205275.1	WP_001205281.1	WP_001205280.1	WP_001205280.1	WP_001205287.1	WP_001205278.1	WP_001205280.1	WP_001205280.1	WP_001205280.1
10	10	0.902	NP_359150.2	WP_001203672.1	WP_001203672.1	WP_001203672.1	WP_001203672.1	WP_001203672.1	WP_001203672.1	WP_001203672.1	WP_001203672.1	WP_001203672.1
10	10	0.903	NP_359525.1	WP_001204051.1	WP_001204054.1	WP_001204054.1	WP_001204054.1	WP_001204054.1	WP_001204054.1	WP_001204054.1	WP_001204051.1	WP_001204054.1
10	10	0.896	NP_359199.1	WP_001188203.1	WP_001188202.1	WP_001188207.1	WP_001188213.1	WP_001188226.1	WP_001188180.1	WP_001188201.1	WP_001188203.1	WP_001188182.1
6	6	0.917	NP_359212.1	WP_001225469.1	WP_001225468.1	*	WP_001225468.1	*	WP_001225468.1	WP_001225468.1	*	*
10	10	0.895	NP_358832.1	WP_001181069.1	WP_001181074.1	WP_001181067.1	WP_001181046.1	WP_001181066.1	WP_001181057.1	WP_001181061.1	WP_001181062.1	WP_001181066.1
10	10	0.903	NP_359110.1	WP_001224867.1	WP_001224887.1	WP_001224903.1	WP_001224888.1	WP_001224918.1	WP_001224879.1	WP_001224895.1	WP_001224920.1	WP_001224919.1
10	10	0.902	NP_357603.1	WP_001224760.1	WP_001224760.1	WP_001224768.1	WP_001224756.1	WP_001224749.1	WP_001224760.1	WP_001224759.1	WP_001224760.1	WP_001224749.1
10	10	0.902	NP_357936.1	WP_001224634.1	WP_001224633.1	WP_001224637.1	WP_001224637.1	WP_001224634.1	WP_001224639.1	WP_001224637.1	WP_001224637.1	WP_001224637.1
10	10	0.899	NP_358683.1	WP_001181378.1	WP_001181378.1	WP_001181378.1	WP_001181378.1	WP_001181378.1	WP_001181378.1	WP_001181379.1	WP_001181378.1	WP_001181378.1
10	10	0.903	NP_358088.1	WP_001183270.1	WP_001192126.1	WP_001183269.1	WP_001192124.1	WP_001192125.1	WP_001192126.1	WP_001183261.1	WP_001183269.1	WP_001192125.1
